Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	RNA-seqG
Chr1:241681-250588	1	241681	250588	+	null					Not found	0	0.14489372
Chr1:1549031-1551177	1	1549031	1551177	-	null					Not found	0	3.1852188
Chr1:1671316-1732261	1	1671316	1732261	-	null					Not found	0	2.6264517
Chr1:1733394-1783983	1	1733394	1783983	+	null					Not found	0	2.4133823
Chr1:1771759-1781544	1	1771759	1781544	-	null					Not found	0	1.3924532
Chr1:1784151-1817293	1	1784151	1817293	-	null					Not found	0	3.2307367
Chr1:1826192-1867770	1	1826192	1867770	-	null					Not found	0	0.47393143
Chr1:1870079-1885927	1	1870079	1885927	+	null					Not found	0	0.7715264
Chr1:1897372-1929722	1	1897372	1929722	-	null					Not found	0	1.2839694
Chr1:1999165-2073787	1	1999165	2073787	+	null					Not found	0	0.8678567
Chr1:2331296-2452054	1	2331296	2452054	+	null					Not found	0	0.17054036
Chr1:2782913-2949878	1	2782913	2949878	+	null					Not found	0	0.48290896
Chr1:3709443-3711392	1	3709443	3711392	+	null					Not found	0	3.4929013
Chr1:3712803-3763395	1	3712803	3763395	+	null					Not found	0	0.59484076
Chr1:3856642-3857996	1	3856642	3857996	+	null					Not found	0	1.6412071
Chr1:3858395-4011672	1	3858395	4011672	+	null					Not found	0	1.3715582
Chr1:4753179-4756481	1	4753179	4756481	+	null					Not found	0	3.220329
Chr1:4756598-4852397	1	4756598	4852397	+	null					Not found	0	0.12702167
Chr1:5163473-5165841	1	5163473	5165841	+	null					Not found	0	1.4040657
Chr1:5240222-5313030	1	5240222	5313030	-	null					Not found	0	1.6675658
Chr1:5366170-5380304	1	5366170	5380304	-	null					Not found	0	0.7037111
Chr1:5380995-5390376	1	5380995	5390376	-	null					Not found	0	3.0755541
Chr1:5390517-5392037	1	5390517	5392037	-	null					Not found	0	1.494084
Chr1:5392302-5394445	1	5392302	5394445	-	null					Not found	0	1.5227938
Chr1:5448939-5577240	1	5448939	5577240	-	null					Not found	0	0.28966096
Chr1:6451836-6696323	1	6451836	6696323	+	null					Not found	0	0.12145737
Chr1:6722780-6745326	1	6722780	6745326	+	null					Not found	0	0.10266644
Chr1:6748656-6802849	1	6748656	6802849	+	null					Not found	0	0.15043461
Chr1:6804100-6805237	1	6804100	6805237	+	null					Not found	0	0.5559412
Chr1:6816855-6819178	1	6816855	6819178	+	null					Not found	0	0.25948286
Chr1:6823639-6842054	1	6823639	6842054	+	null					Not found	0	0.13304949
Chr1:7219597-7258899	1	7219597	7258899	-	null					Not found	0	1.5545735
Chr1:7323063-7335848	1	7323063	7335848	+	null					Not found	0	1.1617224
Chr1:7378651-7392250	1	7378651	7392250	+	null					Not found	0	0.08712626
Chr1:7405320-7443750	1	7405320	7443750	+	null					Not found	0	0.01767353
Chr1:7659032-7673621	1	7659032	7673621	-	null					Not found	0	0.3200715
Chr1:7685222-7726368	1	7685222	7726368	+	null					Not found	0	0.50461894
Chr1:7726543-7743344	1	7726543	7743344	-	null					Not found	0	0.24405783
Chr1:7743503-7745091	1	7743503	7745091	-	null					Not found	0	2.6618824
Chr1:7816844-7860868	1	7816844	7860868	+	null					Not found	0	0.57530046
Chr1:7973767-8038783	1	7973767	8038783	+	null					Not found	0	0.2626639
Chr1:8127908-8155845	1	8127908	8155845	-	null					Not found	0	0.58362466
Chr1:8310577-8333876	1	8310577	8333876	-	null					Not found	0	10.036469
Chr1:8594552-8741940	1	8594552	8741940	+	null					Not found	0	0.05369162
Chr1:8829712-8878164	1	8829712	8878164	+	null					Not found	0	1.0231352
Chr1:11880133-11974516	1	11880133	11974516	-	null					Not found	0	85.74514
Chr1:11903707-11975750	1	11903707	11975750	+	null					Not found	0	112.33273
Chr1:12823368-12825800	1	12823368	12825800	-	null					Not found	0	32.49634
Chr1:13037182-13050645	1	13037182	13050645	+	null					Not found	0	4.7704144
Chr1:13165598-13175897	1	13165598	13175897	+	null					Not found	0	0.81411695
Chr1:13212217-13294502	1	13212217	13294502	-	null					Not found	0	0.42042813
Chr1:13384196-13391071	1	13384196	13391071	+	null					Not found	0	0.4129682
Chr1:13569357-13698865	1	13569357	13698865	-	null					Not found	0	0.38894343
Chr1:13699028-13705366	1	13699028	13705366	-	null					Not found	0	3.8716826
Chr1:13705467-13706747	1	13705467	13706747	-	null					Not found	0	9.033556
