seqnames	start	end	strand	gene_name
1	744616	755645	-	Vom2r6
1	804862	813517	-	Vom2r5
1	1101965	1116926	-	Raet1e
1	1180932	1220916	+	LOC102547056
1	1702696	1731210	+	Lrp11
1	1736276	1767618	-	Pcmt1
1	1771710	1782091	+	Nup43
1	1784078	1817310	+	Lats1
1	1825872	1867787	+	Katna1
1	1870388	1885981	-	Ginm1
1	1897338	1929763	+	Ppil4
1	1938419	1972918	+	Zc3h12d
1	1999596	2073896	-	Tab2
1	2333778	2627747	-	Ust
1	2782864	2846200	-	Sash1
1	3713750	3763392	-	Samd5
1	3858909	4011511	-	Stxbp5
1	4445027	4560789	-	Adgb
1	4637491	4653210	-	Rab32
1	4753144	5165859	-	Grm1
1	5240180	5313054	+	Shprh
1	5366379	5388069	+	Fbxo30
1	5448958	5571512	+	Epm2a
1	6451810	6970040	-	Utrn
1	7039162	7064870	-	Stx11
1	7101715	7102426	+	Sf3b5
1	7252349	7259035	+	Plagl1
1	7294027	7322455	-	Zc2hc1b
1	7323040	7335936	-	Ltv1
1	7355154	7480825	-	Phactr2
1	7658890	7673683	+	Fuca2
1	7685338	7726401	-	Pex3
1	7726529	7742484	+	Adat2
1	7816838	8038665	-	Aig1
1	8310577	8333885	+	Hivep2
1	8593075	8751198	-	Adgrg6
1	8830411	8878244	-	Vta1
1	8883961	8885967	-	Gje1
1	8933831	8944987	+	Nmbr
1	11758230	11759168	+	LOC100909435
1	11982257	11995787	-	LOC100909599
1	12006660	12128845	+	Mcc
1	12823363	12825786	+	Cited2
1	12915734	12961670	+	Txlnb
1	13036909	13050644	-	Heca
1	13165572	13175876	-	Abracl
1	13212324	13298347	+	Reps1
1	13302256	13341952	-	Ect2l
1	13384156	13395370	-	Ccdc28a
1	13595295	13705396	+	Nhsl1
1	13714440	13719829	-	Hebp2
1	13838707	13915594	-	Arfgef3
1	14224393	14236846	+	Perp
1	14402913	14412807	-	Tnfaip3
1	14507956	14512887	+	LOC102550206
1	14797766	14799835	+	Olig3
1	15062432	15080907	+	Ifngr1
1	15093599	15106954	+	Il22ra2
1	15180328	15222785	+	Il20ra
1	15298526	15301998	-	Slc35d3
1	15311770	15374850	-	Pex7
1	15412603	15613746	+	Map3k5
1	15620653	15748203	+	Map7
1	15782477	15860624	+	Mtfr2
1	15893533	16203909	-	Pde7b
1	16478127	16601769	+	Ahi1
1	16659442	16687817	-	Myb
1	16819170	16896219	+	Hbs1l
1	16910069	16930481	+	Aldh8a1
1	17171631	17378047	-	Themis
1	17446417	18058055	-	Ptprk
1	17602281	17625197	+	LOC103690149
1	18491384	19143269	+	Lama2
1	19227121	19376301	-	Arhgap18
1	19638106	19640329	-	LOC102554576
1	20022793	20097099	+	L3mbtl3
1	20115995	20116513	+	LOC100360791
1	20125966	20155960	-	Samd3
1	20331976	20412381	+	Tmem200a
1	20856187	20877716	+	Smlr1
1	20893995	20962526	-	Epb41l2
1	21141970	21263850	+	Akap7
1	21525421	21537863	+	Arg1
1	21539765	21586910	-	Med23
1	21613148	21684480	+	Enpp3
1	21748261	21813371	+	Enpp1
1	21851660	21854773	-	Ctgf
1	22124495	22206505	-	Moxd1
1	22241661	22281788	-	Stx7
1	22319353	22320369	+	Taar9
1	22364551	22365675	+	LOC108348200
1	22402878	22404002	-	Taar8a
1	22451225	22452301	-	Taar7h
1	22465092	22466168	-	Taar7g
1	22479446	22480522	-	Taar7e
1	22487055	22488131	-	Taar7d
1	22507094	22508170	-	Taar7c
1	22518560	22519636	-	Taar7b
1	22528743	22529735	+	Taar7a
1	22536199	22537236	+	Taar6
1	22547662	22548675	-	Taar5
1	22558787	22559830	-	Taar4
1	22569275	22570303	-	Taar3
1	22578025	22581994	-	Taar2
1	22595477	22596475	-	Taar1
1	22614783	22625204	-	Vnn1
1	22649081	22661377	-	Vnn3
1	22705916	22748422	-	Slc18b1
1	22757012	22758012	-	LOC100910237
1	22758212	22760370	+	Rps12
1	23409408	23610164	+	Eya4
1	23543426	23556241	-	LOC100910446
1	23906717	23909566	+	Tcf21
1	23977688	24002506	+	Tbpl1
1	24003625	24056373	-	Slc2a12
1	24185435	24302298	-	Sgk1
1	24571240	24604400	-	1700020N01Rik
1	24737825	24740179	+	LOC102546868
1	25173242	25296927	+	Clvs2
1	25403390	25839345	-	Trdn
1	27476375	28159290	+	Nkain2
1	28301922	28390837	+	Rnf217
1	28454966	28576553	+	Tpd52l1
1	28579990	28600586	-	Hddc2
1	29191192	29201531	+	Hey2
1	29225707	29385199	+	Ncoa7
1	29413365	29423347	+	Hint3
1	29432152	29487473	+	Trmt11
1	29915443	29920598	+	Cenpw
1	30681681	30766860	+	Rspo3
1	30863217	30873808	+	Rnf146
1	30874418	30917882	-	Echdc1
1	31040142	31055453	-	Kiaa0408L
1	31066798	31122093	-	Soga3
1	31261370	31262466	-	LOC100910528
1	31264755	31273159	+	LOC100912599
1	31531143	31535314	+	Lrrc14b
1	31539215	31545559	-	Ccdc127
1	31545631	31570601	+	Sdha
1	31576183	31591849	+	Pdcd6
1	31603297	31698329	+	Ahrr
1	31700953	31731815	+	Exoc3
1	31734327	31777070	-	Slc9a3
1	31835000	31864628	+	Cep72
1	31870899	31890778	-	Tppp
1	31906064	31936537	-	Zdhhc11
1	31939585	31967915	-	Brd9
1	31967978	32012919	+	Trip13
1	32058044	32084877	+	Nkd2
1	32086755	32141036	-	Slc12a7
1	32199810	32220045	+	Slc6a19
1	32221636	32236051	+	Slc6a18
1	32251714	32272476	-	Tert
1	32281207	32297190	-	Clptm1l
1	32321580	32363983	-	Slc6a3
1	32379432	32429917	-	Lpcat1
1	32570296	32570589	-	Mrpl36
1	32573228	32581781	+	LOC679739
1	32634796	32643771	-	Irx4
1	33271977	33275540	-	Irx2
1	33910912	33916741	+	Irx1
1	35067490	35198939	+	Adamts16
1	35280701	35319182	+	Ice1
1	35868009	35869909	+	LOC679881
1	36107232	36112993	-	Med10
1	36185916	36226276	+	Ube2ql1
1	36295650	36319966	-	Nsun2
1	36320461	36354756	+	Srd5a1
1	36400443	36433238	+	Tent4a
1	37507276	37698390	+	Adcy2
1	37734403	37742932	-	Fastkd3
1	37743147	37774015	+	Mtrr
1	37802592	37818879	-	LOC680200
1	37896780	37957412	-	LOC102549842
1	37928102	37932084	-	LOC102547287
1	38238376	38238459	+	rno-mir-29b-2
1	38238896	38239002	-	rno-mir-3556b-1
1	38527519	38538987	-	LOC102551340
1	38582629	38586563	-	LOC501406
1	39811314	39923057	+	Ppp1r14c
1	40086470	40101840	+	Iyd
1	40389638	40520447	+	Plekhg1
1	40529045	40719391	+	Mthfd1l
1	40816107	40906581	+	Akap12
1	40914171	40921508	-	Zbtb2
1	40948847	40972826	-	Rmnd1
1	40982862	41006371	+	Armt1
1	41034308	41126043	+	Ccdc170
1	41192824	41594796	+	Esr1
1	42121636	42131547	+	Myct1
1	42169501	42177582	+	Vip
1	42461291	42467586	-	Fbxo5
1	42475792	42486035	-	Mtrf1l
1	42492761	42587721	-	Rgs17
1	43454803	43704948	+	Oprm1
1	43567842	43638161	-	Ipcef1
1	43789791	43884267	-	Cnksr3
1	44019059	44120615	+	Scaf8
1	44311513	44433193	+	Tiam2
1	44433116	44474674	-	Tfb1m
1	44446765	44447424	+	Cldn20
1	44550994	44615760	-	Nox3
1	45821855	45828543	-	LOC102548472
1	45923222	46234874	+	Arid1b
1	46302970	46329682	-	Tmem242
1	46378807	46649292	+	Zdhhc14
1	46779860	46825830	+	Snx9
1	46835971	46932529	+	Synj2
1	46942192	46978261	-	Serac1
1	46978458	46985032	+	Gtf2h5
1	47032113	47127035	+	Tulp4
1	47162394	47202549	+	Tmem181
1	47206895	47213749	-	Dynlt1
1	47231093	47287371	+	Sytl3
1	47287874	47331412	-	Ezr
1	47426258	47477524	-	Rsph3
1	47493994	47502952	-	Tagap
1	47605262	47687504	+	Fndc1
1	47914759	47921587	-	Sod2
1	47942500	47967631	+	Wtap
1	47972399	47992653	+	Acat2
1	47996521	48026268	+	Acat2l1
1	48025663	48033396	-	Tcp1
1	48033768	48038726	+	Mrpl18
1	48039909	48058400	+	Pnldc1
1	48069194	48070536	-	Mas1l
1	48077033	48108216	+	Mas1
1	48176106	48264477	+	Igf2r
1	48273611	48300655	+	Slc22a1
1	48317995	48360261	-	Slc22a2
1	48433079	48521256	+	Slc22a3
1	48521772	48563776	-	Plg
1	48625743	48711642	+	Map3k4
1	48719633	48825364	-	Agpat4
1	50828134	51052340	+	LOC108348175
1	51619875	51622942	+	Pabpc6
1	52330443	52354175	-	MGC94891
1	52360296	52544450	-	Pde10a
1	52887067	52894832	-	Tbxt
1	52907435	52962388	-	T2
1	52991287	52992213	-	Prr18
